reward,horizon,epsilon,ep_p,ep_v,lr_p,lr_v,mbs_p,mbs_v,lambda
88.53,8192.0,0.3,4.0,8.0,0.0005,0.001,2048.0,256.0,0.98
87.07,2048.0,0.2,20.0,20.0,0.005,0.0001,256.0,512.0,0.9
86.41,4096.0,0.1,12.0,4.0,0.001,0.0005,256.0,256.0,0.9
85.63,4096.0,0.2,8.0,12.0,0.0001,0.005,256.0,2048.0,0.95
84.55,8192.0,0.2,4.0,8.0,0.0005,0.0005,2048.0,256.0,0.95
84.49,8192.0,0.3,4.0,8.0,0.001,0.005,2048.0,256.0,0.95
84.37,8192.0,0.2,4.0,8.0,0.005,0.0001,2048.0,256.0,0.98
82.49,8192.0,0.3,4.0,20.0,0.005,0.0001,2048.0,256.0,0.98
81.96,8192.0,0.3,4.0,8.0,0.005,0.0001,2048.0,256.0,0.98
81.43,4096.0,0.1,12.0,4.0,0.001,0.0005,256.0,512.0,0.9
80.28,8192.0,0.3,4.0,8.0,0.001,0.005,2048.0,256.0,0.95
79.82,8192.0,0.2,4.0,8.0,0.001,0.0001,2048.0,256.0,0.98
79.46,4096.0,0.2,8.0,12.0,0.0005,0.005,256.0,2048.0,0.95
79.28,8192.0,0.3,8.0,20.0,0.001,0.0001,2048.0,256.0,0.98
74.34,2048.0,0.1,16.0,8.0,0.0005,0.0001,1024.0,256.0,0.95
74.29,8192.0,0.3,20.0,20.0,0.005,0.005,2048.0,2048.0,0.98
71.34,8192.0,0.3,4.0,8.0,0.005,0.001,2048.0,256.0,0.98
71.19,8192.0,0.2,4.0,8.0,0.0005,0.005,2048.0,256.0,0.95
70.91,4096.0,0.1,12.0,4.0,0.001,0.0001,2048.0,256.0,0.98
68.85,8192.0,0.3,4.0,8.0,0.005,0.0001,2048.0,256.0,0.98
67.41,2048.0,0.1,16.0,20.0,0.0005,0.0005,512.0,256.0,0.95
67.24,2048.0,0.1,16.0,8.0,0.0005,0.0001,1024.0,512.0,0.98
66.45,8192.0,0.3,4.0,8.0,0.0005,0.005,2048.0,256.0,0.95
65.62,8192.0,0.1,4.0,8.0,0.001,0.0001,2048.0,256.0,0.98
65.11,8192.0,0.3,4.0,8.0,0.001,0.0001,2048.0,256.0,0.98
64.85,8192.0,0.3,4.0,20.0,0.0005,0.0001,2048.0,256.0,0.98
62.25,4096.0,0.1,12.0,4.0,0.001,0.0005,256.0,1024.0,0.9
61.65,8192.0,0.2,4.0,8.0,0.001,0.0001,2048.0,256.0,0.98
60.87,8192.0,0.1,4.0,8.0,0.0005,0.0001,2048.0,256.0,0.98
