reward,horizon,target_kl,ep_p,ep_v,lr_p,lr_v,mbs_p,mbs_v,lambda
63.84,2048.0,0.01,16.0,20.0,0.005,0.0005,512.0,1024.0,0.95
62.88,4096.0,0.0008,20.0,8.0,0.005,0.0001,1024.0,1024.0,0.95
58.75,8192.0,0.007,4.0,8.0,0.0005,0.005,2048.0,256.0,0.95
56.13,4096.0,0.005,12.0,16.0,0.005,0.001,512.0,1024.0,0.95
49.16,8192.0,0.001,4.0,8.0,0.0001,0.005,2048.0,256.0,0.9
43.33,4096.0,0.0008,20.0,12.0,0.0001,0.005,256.0,2048.0,0.85
39.03,8192.0,0.01,4.0,8.0,0.005,0.005,2048.0,256.0,0.85
38.25,8192.0,0.003,4.0,20.0,0.0005,0.0001,2048.0,256.0,0.98
37.89,8192.0,0.005,4.0,20.0,0.0005,0.0001,2048.0,256.0,0.98
36.80,4096.0,0.005,12.0,16.0,0.001,0.005,2048.0,1024.0,0.9
36.10,4096.0,0.0008,20.0,12.0,0.0001,0.001,1024.0,1024.0,0.85
36.01,8192.0,0.005,4.0,8.0,0.0005,0.001,2048.0,256.0,0.95
35.92,8192.0,0.01,4.0,4.0,0.0001,0.005,1024.0,2048.0,0.85
35.92,8192.0,0.01,4.0,20.0,0.001,0.0001,2048.0,256.0,0.98
35.86,8192.0,0.0008,4.0,8.0,0.001,0.0005,2048.0,256.0,0.95
35.49,4096.0,0.0008,20.0,12.0,0.0001,0.001,512.0,256.0,0.95
35.36,4096.0,0.0008,20.0,12.0,0.0001,0.0005,256.0,256.0,0.95
35.31,8192.0,0.0008,4.0,8.0,0.0001,0.0001,2048.0,256.0,0.98
35.11,8192.0,0.0008,4.0,4.0,0.0005,0.001,2048.0,256.0,0.98
35.07,4096.0,0.0008,20.0,12.0,0.0001,0.001,512.0,1024.0,0.95
34.94,8192.0,0.01,4.0,20.0,0.0005,0.0001,2048.0,256.0,0.98
34.81,8192.0,0.007,4.0,20.0,0.0005,0.0001,2048.0,256.0,0.98
34.38,4096.0,0.0008,20.0,12.0,0.0001,0.001,256.0,512.0,0.85
34.27,8192.0,0.007,4.0,20.0,0.001,0.0001,2048.0,256.0,0.98
34.13,8192.0,0.005,4.0,20.0,0.0001,0.0001,2048.0,256.0,0.98
33.51,4096.0,0.0008,12.0,20.0,0.0001,0.0001,512.0,1024.0,0.9
27.63,4096.0,0.01,20.0,12.0,0.001,0.001,256.0,256.0,0.98
26.53,2048.0,0.007,16.0,20.0,0.0005,0.0005,512.0,256.0,0.95
26.33,8192.0,0.01,4.0,20.0,0.0001,0.0001,2048.0,256.0,0.98
